Simulation,f_r_b,f_b_r,log10_f_r_b,log10_f_b_r
77,3.7982145084532567e-06,9.074256288983869e-06,-5.420420511635108,-5.0421889588897475
78,0.008761971101023688,9.294394155644998e-07,-2.057398183557597,-6.031778913953998
79,0.0004881375191603668,0.00011129571947045999,-3.311457810376486,-3.9535215386851297
80,8.923807143379778e-06,8.182111518618413e-05,-5.049449824030401,-4.087134605552562
81,2.958915282095305e-05,3.3823872019362126e-05,-4.5288674691229875,-4.4707766776256825
82,0.0003420730367009225,1.390268671103501e-05,-3.465881156956421,-4.856901263700966
83,2.296989871634209e-06,0.00021938654178115042,-5.638840919782367,-3.658790017643048
84,1.9192001101561874e-05,5.572807500029966e-07,-4.716879740113057,-6.253925958400583
85,1.4557961490251988e-06,2.3097861492693584e-05,-5.836899433780944,-4.636428227247032
86,0.000513165495514832,1.165068111898612e-07,-3.2897425526308703,-6.933648684288576
87,0.00011178209200698716,8.053471030316095e-07,-3.951627766802876,-6.094016899208248
88,0.00038079493367685583,4.982711200081136e-07,-3.4193088383622006,-6.302534283980034
89,0.0005804314717414065,3.5232331631983117e-06,-3.236249047590136,-5.45305861479785
90,0.005583672722754818,3.548818403010947e-07,-2.253080045053062,-6.449916223416027
91,2.3134781612225604e-05,2.843767489444367e-07,-4.635734595798966,-6.546105915037644
92,0.004997749370303171,0.0003231152185441095,-2.301225526885749,-3.490642586476076
93,1.0758866306767917e-05,4.36451694680779e-05,-4.968233489139378,-4.360063815863284
94,0.0018573288333114855,1.6626592254031885e-05,-2.7311111991951367,-4.77919675360215
95,0.00013140210226207373,9.277034327414713e-07,-3.881397686575974,-6.032590836398193
96,2.357279455676983e-06,0.0003880279700786686,-5.627588928776403,-3.411136968186693
97,0.003996430167694252,3.407264348530194e-05,-2.398327771346678,-4.467594170906928
98,2.270487755790925e-05,2.493666083446518e-06,-4.643880835805197,-5.603161701549356
99,0.0008013508750140623,0.00038765111709116286,-3.0961772845190425,-3.4115589601896916
100,0.0035346441441965813,0.0001316746532693613,-2.451654302939531,-3.8804978165695045
