Simulation,f_r_b,f_b_r,log10_f_r_b,log10_f_b_r
34,1.913588048769228e-05,4.021554526690286e-06,-4.718151550050475,-5.395606038491921
35,1.4096175149815853e-05,9.413993046829942e-06,-4.850898712640459,-5.026226126798965
36,0.0003503398491158686,2.497073714505269e-07,-3.455510461406685,-6.602568636931656
37,1.0257563974185649e-05,4.274869455295217e-06,-4.988955765752795,-5.3690771430903315
38,0.0002592475660475159,2.8708753481954696e-06,-3.5862853123047658,-5.541985663918025
39,0.0003487712624545928,1.4063366777718176e-07,-3.4574593066281087,-6.851910696531819
40,5.211124595788266e-05,1.7050539260269287e-07,-4.283068542911455,-6.768261880949741
41,0.00053236175947515,1.7643967683381541e-06,-3.2737931482488127,-5.753403746344884
42,4.589824181495648e-05,1.3400367243354806e-07,-4.338203950294702,-6.8728832994279525
43,4.187594718900626e-05,4.4706085467784887e-07,-4.378035356568676,-6.349633355946506
44,0.0002878805718308923,1.884147692154509e-06,-3.540787643323872,-5.7248850572895735
45,0.0005948746813219771,8.798929749689021e-07,-3.225574514847347,-6.055570149676101
46,1.734556664236095e-05,2.6698666742744557e-06,-4.760811508123396,-5.57351042555401
47,0.0003323304206226791,1.326033192269655e-06,-3.478429902766205,-5.877445604861007
48,0.0003482846706526883,9.718319944817394e-07,-3.458065640090878,-6.0124088072712185
49,0.00011103647313054626,7.162786999897335e-07,-3.9545343412360117,-6.144917963282901
50,1.1241862095793053e-05,1.6435497475111306e-07,-4.94916174651181,-6.7842171460133915
51,1.1557352816269858e-05,1.87422109855557e-06,-4.937141628626532,-5.727179177472439
52,4.253162363790871e-05,1.0402587615883851e-06,-4.371288037847346,-5.982858617670594
53,0.0006533305220227736,3.1519872951938897e-07,-3.1848670521478137,-6.50141554170225
54,6.618595597183471e-05,3.244160088734159e-06,-4.179234153928741,-5.488897722913903
55,2.8681134821030068e-05,1.4254757044027427e-07,-4.542403669016755,-6.846040180342414
56,3.797544798678417e-05,2.101079931010355e-07,-4.420497094172464,-6.677557425491991
57,0.0007234279845665416,4.1327654594663634e-06,-3.140604695314854,-5.383759240871166
58,0.00018484491720988626,5.532496914298504e-06,-3.733192486979153,-5.257078819624565
59,0.00040489662225846705,2.3612399244412592e-07,-3.3926558462017713,-6.6268598822279285
60,0.0006097025297491433,1.198628179990117e-06,-3.2148820030200445,-5.921315516168699
61,0.00041198396246051877,6.197015748809144e-06,-3.3851196896718747,-5.207817400153013
62,4.3252075253865245e-05,1.659983797444923e-07,-4.363993050056273,-6.779896150944646
63,2.8567374298471882e-05,7.148510793512978e-07,-4.544129674916117,-6.145784422747488
64,0.0004325432427964557,5.265761277157425e-06,-3.3639704681550135,-5.278538833487313
65,1.032533761648204e-05,1.0507384024181407e-06,-4.986095738937618,-5.978505394844868
66,6.83631406502272e-05,2.781093697926555e-07,-4.165177993702442,-6.555784379058539
67,1.7367237151593165e-05,4.7340227734041856e-07,-4.760269265332634,-6.3247696571927445
68,0.000768810680147495,4.430021806767977e-07,-3.1141805921749617,-6.35359413595849
69,0.00010903884523201114,2.547052623339114e-06,-3.9624187565132676,-5.593962082209645
70,5.3365330663796096e-05,8.781408196485983e-06,-4.272740795241412,-5.056435834558078
71,0.0008411909465645716,3.1883397351001867e-07,-3.0751054101157775,-6.496435408349272
72,9.874088417386254e-05,3.997206819121804e-07,-4.005502988215229,-6.398243380366461
73,3.712624179040535e-05,1.1851515660043093e-07,-4.430319011245064,-6.926226105290935
74,0.00016562605893335948,1.0124137770478636e-06,-3.7808713320402063,-5.994641953542277
75,1.2675278269816286e-05,3.608219327363787e-07,-4.8970424975000215,-6.442707071526777
76,0.0006554382343546281,3.013864904679799e-07,-3.1834682280666926,-6.520876218666055
77,1.9489008462344248e-05,9.525889086580774e-07,-4.710210255817554,-6.021094479444874
78,0.0009360540102485378,3.0486708834580684e-07,-3.0286990917787984,-6.515889456976999
79,0.00022093834415066272,3.336101309469779e-06,-3.655728905188243,-5.476760769342565
80,2.9872741995638425e-05,2.8604390429824605e-06,-4.5247249120152,-5.543567302776281
81,5.439591236568521e-05,1.8391267498288997e-06,-4.264433734561494,-5.735388338812841
82,0.0001849521658972727,1.1790965486776308e-06,-3.7329405784782104,-5.928450631850483
83,1.5155823539597592e-05,4.68387170811873e-06,-4.819420459891184,-5.329395008821524
84,4.380867619725781e-05,2.360679457281307e-07,-4.358439870056529,-6.626962979200291
85,1.2065637774378936e-05,1.5197980620034224e-06,-4.918449716890472,-5.818214113623516
86,0.00022653156413948852,1.0793832090127268e-07,-3.644871276315435,-6.966824342144288
87,0.00010572705046816887,2.8378638146176216e-07,-3.975813883401438,-6.5470084496041245
88,0.0001951396765593446,2.2321987366901576e-07,-3.7096544191811,-6.651267141990017
89,0.00024092145436664758,5.935682912014684e-07,-3.618124523795068,-6.226529307398925
90,0.0007472397689332931,1.8838307787619744e-07,-3.126540022526531,-6.7249581117080135
91,4.809862951501389e-05,1.6863473810115083e-07,-4.3178672978994825,-6.773052957518821
92,0.0007069476197217988,5.684322462212269e-06,-3.1506127634428744,-5.245321293238038
93,3.280071082578534e-05,2.089142634385642e-06,-4.484116744569689,-5.680031907931642
94,0.00043096738082034513,1.2894414393074191e-06,-3.3655555995975686,-5.889598376801075
95,0.00011463075602213989,3.045822438589409e-07,-3.9406988432879873,-6.516295418199096
96,1.5353434324857038e-05,6.229189113188562e-06,-4.813794464388201,-5.205568484093346
97,0.0006321732490144021,1.845877663478865e-06,-3.199163885673339,-5.733797085453464
98,4.764963542138518e-05,4.993662066506416e-07,-4.321940417902598,-6.301580850774679
99,0.00028308141496998055,6.226163482363466e-06,-3.548088642259521,-5.205779480094845
100,0.0005945287330479984,3.6287002255540624e-06,-3.2258271514697654,-5.440248908284753
