Simulation,f_r_b,f_b_r,log10_f_r_b,log10_f_b_r
74,0.00016562605893335948,1.0249816559563215e-07,-3.7808713320402063,-6.989283907084554
75,1.2675278269816286e-05,1.3019246714361582e-08,-4.8970424975000215,-7.885414143053554
76,0.0006554382343546281,9.083381663660571e-09,-3.1834682280666926,-8.04175243733211
77,1.9489008462344248e-05,9.074256288983869e-08,-4.710210255817554,-7.0421889588897475
78,0.0009360540102485378,9.294394155644998e-09,-3.0286990917787984,-8.031778913953998
79,0.00022093834415066272,1.1129571947045998e-06,-3.655728905188243,-5.95352153868513
80,2.9872741995638425e-05,8.182111518618414e-07,-4.5247249120152,-6.087134605552562
81,5.439591236568521e-05,3.3823872019362126e-07,-4.264433734561494,-6.4707766776256825
82,0.0001849521658972727,1.390268671103501e-07,-3.7329405784782104,-6.856901263700966
83,1.5155823539597592e-05,2.1938654178115068e-06,-4.819420459891184,-5.658790017643048
84,4.380867619725781e-05,5.572807500029966e-09,-4.358439870056529,-8.253925958400583
85,1.2065637774378936e-05,2.3097861492693586e-07,-4.918449716890472,-6.636428227247032
86,0.00022653156413948852,1.165068111898612e-09,-3.644871276315435,-8.933648684288576
87,0.00010572705046816887,8.053471030316077e-09,-3.975813883401438,-8.094016899208249
88,0.0001951396765593446,4.982711200081136e-09,-3.7096544191811,-8.302534283980034
89,0.00024092145436664758,3.523233163198312e-08,-3.618124523795068,-7.45305861479785
90,0.0007472397689332931,3.548818403010947e-09,-3.126540022526531,-8.449916223416027
91,4.809862951501389e-05,2.843767489444373e-09,-4.3178672978994825,-8.546105915037643
92,0.0007069476197217988,3.231152185441095e-06,-3.1506127634428744,-5.490642586476076
93,3.280071082578534e-05,4.3645169468077904e-07,-4.484116744569689,-6.360063815863284
94,0.00043096738082034513,1.6626592254031885e-07,-3.3655555995975686,-6.77919675360215
95,0.00011463075602213989,9.277034327414733e-09,-3.9406988432879873,-8.032590836398192
96,1.5353434324857038e-05,3.88027970078669e-06,-4.813794464388201,-5.4111369681866925
97,0.0006321732490144021,3.407264348530194e-07,-3.199163885673339,-6.467594170906928
98,4.764963542138518e-05,2.493666083446518e-08,-4.321940417902598,-7.603161701549356
99,0.00028308141496998055,3.876511170911629e-06,-3.548088642259521,-5.411558960189692
100,0.0005945287330479984,1.3167465326936129e-06,-3.2258271514697654,-5.8804978165695045
